Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T001,Thread,Trim,Thread — A&E 36's Stone,Thread - contrast stitching,Stone a&e 36's w44500,3,,,OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST
T002,Thread,Trim,Thread — Coats Epic 40's Gold 02362,Thread - contrast,Gold epic 40's 02362,3,,,OHAPP057215DEN; OHAPP0572224DEN; OHAPP0572F224DEN
T003,Thread,Trim,Thread — Coats Epic 40's Gold 02362,THREAD,Coats epic 40's gold 02362,2,,,OHAPP0631224DENDS; OHAPP0535224DENDSSHT
T004,Thread,Trim,Thread — Coats Epic 40's Gold 02362,Thread - contrast,Gold 02362 40's all stitching,2,,,OHAPP0597224DEN; OHAPP0597F224DEN
T005,Thread,Trim,Thread — Coats Epic 40's Gold 02362,Thread - contrast stitching,Gold 02362 epic 40's,2,,,OHAPP061803DEN; OHAPP061903DEN
T006,Thread,Trim,Thread — Coats Epic 40's Gold 02362,THREAD,Coats gold 40's 02362 for topstitching,1,,,OHAPP0534224DEN
T007,Thread,Trim,Thread — Coats Epic 40's Gold 02362,THREAD,COATS GOLD Epic 40'S 02362,1,,,OHAPP0535224DENDS
T008,Thread,Trim,Thread — Coats Epic 75's Black,THREAD,BLACK 75's,1,,,OHCJSSUFFOLK--03L
T009,Thread,Trim,Thread — Coats Epic 75's White,THREAD,WHITE 75's,3,,,OHCJSSUFFOLK--01; OHCJSSUFFOLK--01L; OHCJSSUFFOLK--01S
T010,Thread,Trim,Thread — Coats Epic 80's Biscuit 08569,THREAD,Coats epic 80's 08569 biscuit,1,,,OHAPP063068HP2
T011,Thread,Trim,Thread — Coats Epic 80's Biscuit 08569,THREAD,Coats epic 80's khaki brown 08569,1,,,OHAPP0786153
T012,Thread,Trim,Thread — Coats Epic 80's Biscuit 08569,THREAD,Coats epic 80's sand 08569,1,,,OHTAB131
T013,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,BLACK,14,,,OHCJMCHESHIRE--03; OHCJSMCHESHIRE--03; OHCJCUMBRIA--03; OHCJSCUMBRIA--03; OHCJMDEVON--03; OHCJSMDEVON--03; OHLCJSYORK--03; OHLCJYORK--03; OHAP052003; OHAP352803RS; OHAP352803VARI; OHAP352847; OHCTDURHAM--03; OHCTTDURHAM--03
T014,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats epic 80's black,11,,,OHCJSSUFFOLK--03; OHAPP078603; OHTAB03; OHAP352803PC; OHAPP063103DENDS; OHAPP065203; OHLCJDERBYSHIRE--03; OHLCJSDERBYSHIRE--03; OHCTLANCASHIRE--03; OHCTTLANCASHIRE--03; OHAPP053503DSSHT
T015,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Black coats epic 80's,9,,,OHCJSMSTRATFORD--03; OHHTM016003; OHAPP052003; OHAPP352803; OHLCJSHAMPSHIRE--03; OHLCTSHROPSHIRE--03; OHLCTSURREY--03; OHCTLINCOLN--03; OHCTTLINCOLN--03
T016,Thread,Trim,Thread — Coats Epic 80's Black,Thread,Black Epic 80's from Coats,4,,,OHCJMOXFORD--03; OHCJMOXFORD--03L; OHCJSMOXFORD--03; OHCJSMOXFORD--03L
T017,Thread,Trim,Thread — Coats Epic 80's Black,Thread - main,BLACK 80'S,3,,,OHAPP059703DEN153; OHAPP0597F03DEN153; OHAPP060003153DEN
T018,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats epic 80 col black,2,,,OHAPP054403; OHAPP054447
T019,Thread,Trim,Thread — Coats Epic 80's Black,Thread - main,Coats 80's black,2,,,OHAP300503PC; OHAP300503PCS
T020,Thread,Trim,Thread — Coats Epic 80's Black,Thread - main,Coats epic 80's black,2,,,OHAP300503PCL; OHAPP300503PCL
T021,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,BLACK 80'S,1,,,OHCJSUFFOLK--03
T022,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Black 80's - coats,1,,,OHAPP053403DEN
T023,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats 80's black,1,,,OHAPP300503
T024,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,COATS BLACK Epic 80'S,1,,,OHAPP053503DENDS
T025,Thread,Trim,Thread — Coats Epic 80's Black,THREAD,Coats epic 80 black,1,,,OHAPP061203DEN
T026,Thread,Trim,Thread — Coats Epic 80's Black,THREAD MAIN,Coats epic 80's black,1,,,OHAPP065103
T027,Thread,Trim,Thread — Coats Epic 80's Bottle Green 05976,THREAD,Coats epic 80's bottle green 05976,1,,,OHTAB24
T028,Thread,Trim,Thread — Coats Epic 80's Brown 00228,THREAD,BROWN Coats epic 80's 00228 or 08975,1,,,OHAP352882
T029,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD,Coats epic 80's brown 08975,3,,,OHAPP063082KPLN; OHAPP078682; OHTAB82
T030,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD,Brown coats epic 80's 08975,2,,,OHAPP352882; OHAPP0535222
T031,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD,COATS EPIC 80 COL 08975 Brown,1,,,OHAPP0544222
T032,Thread,Trim,Thread — Coats Epic 80's Brown 08975,THREAD - Main,Coats epic 80's brown 8975,1,,,OHAPP0634913
T033,Thread,Trim,Thread — Coats Epic 80's Burgundy 03922,THREAD - Main,Coats epic 80's burgundy 03922,1,,,OHAPP0634911
T034,Thread,Trim,Thread — Coats Epic 80's Burgundy 03944,THREAD,Coats epic 80's burgundy 03944,2,,,OHAPP078606; OHTAB06
T035,Thread,Trim,Thread — Coats Epic 80's Burgundy 03944,Thread - main,Coats epic 80's maroon 03944,1,,,OHAP300505
T036,Thread,Trim,Thread — Coats Epic 80's Charcoal 09939,THREAD,Charcoal coats 80's thread shade 09939,1,,,OHAPP0590128
T037,Thread,Trim,Thread — Coats Epic 80's Colour TBC,THREAD,Colour coats 80's,1,,,OHKIDSBIB--
T038,Thread,Trim,Thread — Coats Epic 80's Colour TBC 08707,Thread,Coats Epic 80's 08707,5,,,BANDANA109; TI003109; TI004109; TI005109; TI006109
T039,Thread,Trim,Thread — Coats Epic 80's Gold 02362,Thread - contrast,Gold epic 40'2 02362,1,,,OHAPP0598224DEN
T040,Thread,Trim,Thread — Coats Epic 80's Green 05925,THREAD,Coats epic 80's green 05925,1,,,OHAPP0630682KP
T041,Thread,Trim,Thread — Coats Epic 80's Green 05925,THREAD - Main,Coats epic 80's green 5925,1,,,OHAPP0634912
T042,Thread,Trim,Thread — Coats Epic 80's Grey 09404,THREAD,Coats epic 80 col grey 09404,1,,,OHAPP054448
T043,Thread,Trim,Thread — Coats Epic 80's Grey 09581,THREAD,Coats epic 80's grey 09581,1,,,OHAPP0630242KP
T044,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Coats epic 80's grey 09963,3,,,OHAPP3528248; OHAPP3528248S; OHAPP0652248
T045,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Coats 80's grey 09963,1,,,OHAPP3005248
T046,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Coats epic 80's 09963 storm grey,1,,,OHAPP0786248
T047,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Coats epic 80's dark grey 09963,1,,,OHTAB14
T048,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Grey (9963) from Coates,1,,,OHAP0520248
T049,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,GREY 9963,1,,,OHAP3528248
T050,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Grey coats epic 80's 09963,1,,,OHAP3528248S
T051,Thread,Trim,Thread — Coats Epic 80's Grey 09963,Thread,Grey Coats Epic 80's 9963,1,,,OHHTM0160248
T052,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD,Storm/Nimbus (9963) from Coates,1,,,OHAPP0520248
T053,Thread,Trim,Thread — Coats Epic 80's Grey 09963,Thread - main,Coats epic 80's 09963,1,,,OHAP3005248L
T054,Thread,Trim,Thread — Coats Epic 80's Grey 09963,THREAD MAIN,Coats epic 80's 09963 grey,1,,,OHAPP0651248
T055,Thread,Trim,Thread — Coats Epic 80's Grey 09971,Thread - main,Grey epic 80's 9971,3,,,OHAPP0596FGD; OHAPP0596GD; OHAPP0599GD
T056,Thread,Trim,Thread — Coats Epic 80's Grey 09971,THREAD,Coats 9971 80's,2,,,OHAPP0569GD; OHAPP0534DENIM
T057,Thread,Trim,Thread — Coats Epic 80's Grey 09971,THREAD,Coats epic 80's grey 09971,2,,,OHAPP0631GDDS; OHAPP0535GDDSSHT
T058,Thread,Trim,Thread — Coats Epic 80's Grey 09971,THREAD,Coats 80's 9971,1,,,OHAPP0534GD
T059,Thread,Trim,Thread — Coats Epic 80's Grey 09971,THREAD,Coats epic 80 col 9971 grey,1,,,OHAPP0612GD
T060,Thread,Trim,Thread — Coats Epic 80's Grey 09971,THREAD,COATS GREY Epic 80'S 09971,1,,,OHAPP0535GDDS
T061,Thread,Trim,Thread — Coats Epic 80's Grey 09971,Thread - contrast fabric - cloth 2,Grey epic 80's 09971,1,,,OHAPP0573224
T062,Thread,Trim,Thread — Coats Epic 80's Grey 09971,Thread - contrast fabric - cloth 2,Grey epic 80's 9971,1,,,OHAPP0575224ST
T063,Thread,Trim,Thread — Coats Epic 80's Grey 09975,THREAD,Coats epic 80 col 09975 grey,2,,,OHAPP0544241; OHAPP0610241
T064,Thread,Trim,Thread — Coats Epic 80's Grey 09975,THREAD,Coats epic 80's grey 09975,2,,,OHAPP0631241DS; OHAPP0535241DSSHT
T065,Thread,Trim,Thread — Coats Epic 80's Grey 09975,THREAD,COATS Epic 80's SLATE GREY 09975,1,,,OHAPP0535241DS
T066,Thread,Trim,Thread — Coats Epic 80's Grey 09975,THREAD,Coats epic 80's — Grey 09975,1,,,OHAPP0535241
T067,Thread,Trim,Thread — Coats Epic 80's Grey 09975,THREAD,Grey 09975 epic 80's from Coats,1,,,OHAPP0535241SHT5
T068,Thread,Trim,Thread — Coats Epic 80's Grey 09984,THREAD,COATS EPIC 80'S 09984 Grey,1,,,OHAPP063014HP2
T069,Thread,Trim,Thread — Coats Epic 80's Khaki 08489,Thread - for waist ties and neck strap stitching,Khaki 08489 epic 80's,2,,,OHAPP059703DEN153; OHAPP0597F03DEN153
T070,Thread,Trim,Thread — Coats Epic 80's Khaki 08489,THREAD,Coats epic 80's khaki 08489,1,,,OHAPP0631153DS
T071,Thread,Trim,Thread — Coats Epic 80's Khaki 08489,Thread - contrast stitching,Khaki 08489 epic 80's,1,,,OHAPP060003153DEN
T072,Thread,Trim,Thread — Coats Epic 80's Light Grey,THREAD,Coats epic 80's light grey,1,,,OHTAB286
T073,Thread,Trim,Thread — Coats Epic 80's Maroon 03912,Thread for contrast,Maroon coats epic 80's 03912,11,,,OHAPP063103DENDS; OHAPP0631110DS; OHAPP0631153DS; OHAPP063115DS; OHAPP0631224DENDS; OHAPP0631241DS; OHAPP0631GDDS; OHAPP065103; OHAPP065115; OHAPP0651248; OHAPP065183
T074,Thread,Trim,Thread — Coats Epic 80's Moss 05767,THREAD,Moss 80's thread shade 05767 or 05742,1,,,OHAPP0590375
T075,Thread,Trim,Thread — Coats Epic 80's Navy,THREAD,Navy,1,,,OHAPP0534BUTCHERS
T076,Thread,Trim,Thread — Coats Epic 80's Navy 07912,THREAD,COATS Epic 80's NAVY 07912,1,,,OHSTRAP--SHT
T077,Thread,Trim,Thread — Coats Epic 80's Navy 07912,THREAD,Navy (07912) from coats,1,,,OHAPP053431
T078,Thread,Trim,Thread — Coats Epic 80's Navy 07912,THREAD,Navy Coats (07912) 80's epic,1,,,OHAP052031
T079,Thread,Trim,Thread — Coats Epic 80's Navy 07912,THREAD,Navy coats epic 80's 07912,1,,,OHAPP352831
T080,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Coats epic 80's navy 07935,7,,,OHAPP063015KPLN; OHAPP078615; OHTAB15; OHAPP063115DS; OHAPP065215; OHAPP053515DS; OHAPP0535315DSSHT
T081,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Navy coats epic 80's 07935,6,,,OHHTM016015; OHHT015415; OHAP352815; OHAPP352815; OHAPP053515; OHAPP053515S
T082,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Navy (07935) from Coates,2,,,OHAP052015; OHAPP052015
T083,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Coats 80's navy 07935,1,,,OHAPP300515
T084,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Coats epic 80 col 07935 navy,1,,,OHAPP054415
T085,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Coats navy 07935 80's can be used for the stitching showing on the underside of the apron if stitch tensions are a problem.,1,,,OHAPP0534224DEN
T086,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD,Navy (07935) Coates,1,,,OHAP052031S
T087,Thread,Trim,Thread — Coats Epic 80's Navy 07935,Thread - main,Coats epic 80's navy 07935,1,,,OHAP300515L
T088,Thread,Trim,Thread — Coats Epic 80's Navy 07935,Thread - main,NAVY 07935,1,,,OHAPP0573224
T089,Thread,Trim,Thread — Coats Epic 80's Navy 07935,Thread - main,NAVY 07935 coats 80's,1,,,OHAPP0598224DEN
T090,Thread,Trim,Thread — Coats Epic 80's Navy 07935,Thread - main,NAVY 80'S Coats 07935,1,,,OHAPP0572F224DEN
T091,Thread,Trim,Thread — Coats Epic 80's Navy 07935,Thread - main,NAVY 80's epic 07935,1,,,OHAPP0572224DEN
T092,Thread,Trim,Thread — Coats Epic 80's Navy 07935,Thread - main,NAVY epic 80's shade 07935,1,,,OHAPP057215DEN
T093,Thread,Trim,Thread — Coats Epic 80's Navy 07935,THREAD MAIN,Coats epic 80's navy 07935,1,,,OHAPP065115
T094,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD,Coats epic 80's olive 05742,5,,,OHAPP078683; OHTAB83; OHSTRAP--WAIST; OHAPP065283; OHSTRAP--
T095,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD,Olive coats epic 80's 05742,2,,,OHAPP352883; OHAPP352883S
T096,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD,Coats 5742 80's Olive green,1,,,OHAPP052083
T097,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD,Coats epic 80 col 5742 olive,1,,,OHAPP054483
T098,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD,Coats epic 80's — Olive 05742,1,,,OHAPP053583
T099,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD,Olive coats 05742,1,,,OHAP352883
T100,Thread,Trim,Thread — Coats Epic 80's Olive 05742,Thread - main,Coats epic 80's olive green 05742,1,,,OHAP300583
T101,Thread,Trim,Thread — Coats Epic 80's Olive 05742,THREAD MAIN,Coats epic 80's olive 05742,1,,,OHAPP065183
T102,Thread,Trim,Thread — Coats Epic 80's Peat 108896,THREAD,108896 peat,1,,,OHAPP052082
T103,Thread,Trim,Thread — Coats Epic 80's Peat 108896,THREAD,Peat 108896,1,,,OHAP052082
T104,Thread,Trim,Thread — Coats Epic 80's Pink 03173,THREAD,COATS Epic 80's Pink 03173,1,,,OHSTRAP04
T105,Thread,Trim,Thread — Coats Epic 80's Pink 03897,THREAD,Coats epic 80's pink 03897,1,,,OHTAB04
T106,Thread,Trim,Thread — Coats Epic 80's Putty 08561,THREAD,Coats epic 80's putty 08561,2,,,OHAPP0631110DS; OHAPP0535110DSSHT
T107,Thread,Trim,Thread — Coats Epic 80's Putty 08561,THREAD,COATS Epic 80's PUTTY 8561,1,,,OHAPP0535110DS
T108,Thread,Trim,Thread — Coats Epic 80's Putty 08561,THREAD,Putty 8561 - coats,1,,,OHAP0566PUTTY
T109,Thread,Trim,Thread — Coats Epic 80's Red 03860,Red thread for bartack and bottom buttonhole,Red epic 80's 03860,1,,,OHCJSBEDFORD--01
T110,Thread,Trim,Thread — Coats Epic 80's Red 03860,THREAD,Coats epic 80's red 03860,1,,,OHTAB921
T111,Thread,Trim,Thread — Coats Epic 80's Rust 08863,THREAD,Coats epic 80's rust 08863,1,,,OHAPP0630681KP
T112,Thread,Trim,Thread — Coats Epic 80's Sage 05765,THREAD,Coats epic 80 col 05765 sage,1,,,OHAPP0544173
T113,Thread,Trim,Thread — Coats Epic 80's Stone 08335,THREAD,Stone coats 80's thread shade 08335,1,,,OHAPP0590156
T114,Thread,Trim,Thread — Coats Epic 80's White,THREAD,WHITE,27,,,OHCJSMCHESHIRE--01; OHCJMCHESHIRE--01; OHCJMCHESHIRE--01L; OHCJSMCHESHIRE--01L; OHCJSMOXFORDNLL--01; OHCJCUMBRIA--01; OHCJSCUMBRIA--01; OHCJSCUMBRIA--01L; OHCJSCUMBRIA--01S; OHCJMDEVON--01; OHCJSMDEVON--01; OHCJMDORSET--01LS; OHCJMDORSET--01; OHCJMDORSET--01L; OHCJSMDORSET--01; OHCJSMDORSET--01L; OHCJSMDORSET--01S; OHCJNORFOLK--01; OHCJSNORFOLK--01; OHCJSUFFOLK--01; OHLCJSYORK--01; OHLCJYORK--01; OHHT015201; OHCTDURHAM--26; OHCTTDURHAM--26; OHAPP0534DAISEYDOT; OHAPP0534STRIPE
T115,Thread,Trim,Thread — Coats Epic 80's White,THREAD,Coats epic 80's white,11,,,OHCJCUMBRIA--01L; OHBABYCHEFJKT; OHAPP054401C; OHAPP078601; OHTAB01; OHAPP352801C; OHLCJDERBYSHIRE--01; OHLCJSDERBYSHIRE--01; OHLCJSDERBYSHIRE--01S; OHCTLANCASHIRE--26; OHCTTLANCASHIRE--26
T116,Thread,Trim,Thread — Coats Epic 80's White,THREAD,White coats epic 80's,7,,,OHCJMSTRATFORD--01; OHCJMSTRATFORD--01S; OHCJSMSTRATFORD--01; OHCJSMSTRATFORD--01S; OHHTM016001; OHLCJHAMPSHIRE--01; OHLCJSHAMPSHIRE--01
T117,Thread,Trim,Thread — Coats Epic 80's White,Thread,White Epic 80's from Coats,6,,,OHCJMOXFORD--01; OHCJMOXFORD--01L; OHCJSMOXFORD--01; OHCJSMOXFORD--01L; OHCJSMOXFORD--01S; OHCJSMOXFORD--01LS
T118,Thread,Trim,Thread — Coats Epic 80's White,THREAD,Epic 80's white,2,,,OHAP352801C; OHAP352801PC
T119,Thread,Trim,Thread — Coats Epic 80's White,Thread - main,Coats 80's white,2,,,OHAP300501C; OHAP300501PC
T120,Thread,Trim,Thread — Coats Epic 80's White,THREAD,White epic 80's,1,,,OHCJSBEDFORD--01
T121,Thread,Trim,Thread — Coats Epic 80's Yellow 01425,THREAD,Coats epic 80's yellow 01425,1,,,OHTAB11
T122,Thread,Trim,Thread — Terking 50's Navy,Thread - main,Navy 50's col 48 terking,2,,,OHAPP0574224RR; OHAPP0575224ST
T123,Thread,Trim,Thread — Terking 50's Navy,Thread - contrast fabric - cloth 2,Navy 50's col 48 terking,1,,,OHAPP0574224RR
T124,Studs,Trim,Antique brass capped studs,Antique brass capped studs,Quality 050b parts a/b/c/d/ 4 x male (a/b) and 2 x female (c/d),4,,,OHAPP0596FGD; OHAPP0596GD; OHAPP059703DEN153; OHAPP0597F03DEN153
T125,Studs,Trim,Antique brass capped studs,Antique brass capped studs,Quality 050b parts a/b/c/d/ 4 x female (a/b) and 2 x male (c/d),2,,,OHAPP0597224DEN; OHAPP0597F224DEN
T126,Studs,Trim,Apron studs - box marked up ohapp0630 kpln,Apron studs - box marked up ohapp0630 kpln,"Use special studs for leather neck strap, as marked on box of studs. use marker for leather neck strap apron for position of studs. 2 x stud (parts c and d) 4 studs per apron",2,,,OHAPP063015KPLN; OHAPP063082KPLN
T127,Studs,Trim,Black capped stud,Black capped stud,1 X black capped stud at collar,2,,,OHCJSSUFFOLK--03L; OHCJSUFFOLK--03
T128,Studs,Trim,Bronze large studs,Bronze large studs,Set to top of bib (lower studs) use marker. x 4,12,,,OHAPP053503DENDS; OHAPP053503DSSHT; OHAPP0535110DS; OHAPP0535110DSSHT; OHAPP053515DS; OHAPP0535224DENDS; OHAPP0535224DENDSSHT; OHAPP0535241DS; OHAPP0535241DSSHT; OHAPP0535315DSSHT; OHAPP0535GDDS; OHAPP0535GDDSSHT
T129,Studs,Trim,Bronze large studs,Bronze large studs,Set to strap 2 male and 2 female at each end. use marker total 4 studs,7,,,OHAPP063103DENDS; OHAPP0631110DS; OHAPP0631153DS; OHAPP063115DS; OHAPP0631224DENDS; OHAPP0631241DS; OHAPP0631GDDS
T130,Studs,Trim,Bronze large studs,Bronze large studs,Top stud set to one end of strap. 3cm spacing between studs.2 studs per strap (use marker) topstitching of strap to be to outer edge of bib. stud straps as a pair and keep together.,3,,,OHSTRAP04; OHSTRAP--SHT; OHSTRAP--
T131,Studs,Trim,Bronze large studs,Bronze large studs,2 x male stud then 2 x female stud - use marker set to one end of strap. mark and set as a pair.,1,,,OHSTRAP--WAIST
T132,Studs,Trim,Bronze large studs male part set to apron female part set to leather (use markers),Bronze large studs male part set to apron female part set to leather (use markers),Set to top of bib for strap (male stud) use marker. x 4 for short bib strap x 2 (male studs) use marker for pocket x 2 (male studs) use marker,1,,,OHAPP061203DEN
T133,Studs,Trim,Bronze large studs male part set to apron female part set to leather (use markers),Bronze large studs male part set to apron female part set to leather (use markers),Set to top of bib for strap (male stud) use marker. x 4 for short bib tab x 2 (male studs) use marker for pocket x 2 (male studs) use marker,1,,,OHAPP0612GD
T134,Studs,Trim,Buttons,Buttons,Squashed detachable stud buttons,5,,,OHCJSMOXFORD--01; OHCJSMOXFORD--01L; OHCJSMOXFORD--01S; OHCJSMOXFORD--01LS; OHCJSMOXFORD--03
T135,Studs,Trim,Buttons,Buttons,"Detachable stud buttons, white",1,,,OHCJSMOXFORDNLL--01
T136,Studs,Trim,Buttons,Buttons,Squashed detachable stud buttons — black,1,,,OHCJSMOXFORD--03L
T137,Studs,Trim,Capped stud,CAPPED STUD,1 X black capped stud at collar,1,,,OHCJSSUFFOLK--03
T138,Studs,Trim,Gilt cap stud 15 mm,Gilt cap stud 15 mm x 1,Supplier New Lace — cap and socket parts only (050B/A15/CAP/GILT + 050B/B/SOCKET/GILT),1,,,TI005109
T139,Studs,Trim,Ring stud,RING STUD,1 x male stud plus 4 x female stud per garment. set to neck strap pre-make up. (use marker),2,,,OHAPP054403; OHAPP0544173
T140,Studs,Trim,Ring stud,Ring stud x 1 set,1 x female ring stud set to end of neck loop — male part set to centre back of jacket,1,,,OHCJSMOXFORDNLL--01
T141,Studs,Trim,Ring stud at centre front,Ring stud at centre front,Ring stud X 6 at centre front. 1 on collar + 5 down centre front 1 X ring stud set to neck loop and male part set to centre back of jacket use the longer prong studs on all stratford jackets,3,,,OHCJMSTRATFORD--01; OHCJSMSTRATFORD--03; OHCJSMSTRATFORD--01
T142,Studs,Trim,Ring stud at centre front,Ring stud at centre front,Ring stud X 6 at centre front. 1 on collar + 5 down centre front 1 X ring stud set to neck loop and male part set to centre back of jacket use the longer length prong stud on all stratford jackets,1,,,OHCJSMSTRATFORD--01S
T143,Studs,Trim,Ring stud at centre front,Ring stud at centre front,Ring stud X 6 at centre front. 1 on collar + 5 down centre front 1 X ring stud set to neck loop and male part set to centre back of jacket use the longer prong studs on all statford jackets,1,,,OHCJMSTRATFORD--01S
T144,Studs,Trim,Stud antique brass,Stud antique brass x 2 new lace - 050b/c 050b/d,2 x stud(male part) set to bib apron. top stud set to back of bib and bottom stud set to front of bib. use marker ohapp0630,8,,,OHAPP078601; OHAPP078603; OHAPP078606; OHAPP078615; OHAPP0786153; OHAPP0786248; OHAPP078682; OHAPP078683
T145,Studs,Trim,Stud antique brass,Stud antique brass,2 x female stud set to leather strap. 2 x male stud set to bib apron. use markers.,5,,,OHAPP063014HP2; OHAPP0630242KP; OHAPP0630681KP; OHAPP0630682KP; OHAPP063068HP2
T146,Studs,Trim,Stud antique brass,Stud antique brass,2 x top stud set to neck loop. 2 x lower stud bib apron. use markers as ohapp0630,2,,,OHAPP0634911; OHAPP0634912
T147,Studs,Trim,Stud antique brass,Stud antique brass,2 X FEMALE STUD SET TO LEATHER STRAP. USE MARKER as used for leather strap on 0630,1,,,OHTAB222/LT
T148,Studs,Trim,Stud antique brass,Stud antique brass,2 x top stud set to neck loop. 2 x lower stud bib apron. use marker as ohapp0630.,1,,,OHAPP0634913
T149,Studs,Trim,Studs,Studs,10 X nickel free ring press studs,4,,,OHCJMDEVON--01; OHCJMDEVON--03; OHCJSMDEVON--01; OHCJSMDEVON--03
T150,Studs,Trim,Studs,STUDS,Ring press stud fasten (concealed studs),4,,,OHLCJSYORK--01; OHLCJSYORK--03; OHLCJYORK--01; OHLCJYORK--03
T151,Studs,Trim,Studs,STUDS,10 x sets of ring press studs,2,,,OHCJSCUMBRIA--01; OHCJSCUMBRIA--01S
T152,Studs,Trim,White capped stud,White capped stud,1 X white capped stud at collar,4,,,OHCJSSUFFOLK--01; OHCJSSUFFOLK--01L; OHCJSSUFFOLK--01S; OHCJSUFFOLK--01
T153,Buttons,Trim,4 hole buttons,4 HOLE BUTTONS x 9 inc 1 spare,Jones button p102/23l white 4 hole,1,,,OHCJSBEDFORD--01
T154,Buttons,Trim,Brass button,Brass button x 1,Antique brass oliver harvey button,6,,,OHAPP057215DEN; OHAPP0572224DEN; OHAPP0572F224DEN; OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST
T155,Buttons,Trim,Button,BUTTON,Brass effect Oliver Harvey logo'd button - four holed,6,,,OHAPP053431; OHAPP0534GD; OHAPP0534BUTCHERS; OHAPP0534DAISEYDOT; OHAPP0534DENIM; OHAPP0534STRIPE
T156,Buttons,Trim,Button,BUTTON,Brass effect Oliver Harvey logo'd button - four hole,2,,,OHAPP053403DEN; OHAPP0534224DEN
T157,Buttons,Trim,Button,BUTTON,Oliver harvey brass coloured logo'd button / Need button for waist and button for pocket,2,,,OHCTDURHAM--03; OHCTDURHAM--26
T158,Buttons,Trim,Button,BUTTON,Brass effect OH button - four hole,1,,,OHAPP0535241SHT5
T159,Buttons,Trim,Button,BUTTON,Oliver harvey brass coloured log'od buttons / Need button for waist and button for pocket,1,,,OHCTTDURHAM--03
T160,Buttons,Trim,Button,BUTTON,Oliver harvey brass coloured logo'd buttons / Need button for waist and button for pocket,1,,,OHCTTDURHAM--26
T161,Buttons,Trim,Button holes,Button holes,Key hole buttons holes - horizontal on outside edge of panel only - top button slanted to top corner,2,,,OHCJSMDORSET--01; OHCJSMDORSET--01S
T162,Buttons,Trim,Button/buttonholes,Button/buttonholes,Key hole button hole - horizontal on outside edge of panel only - / Top button slanted to top corner,1,,,OHCJMDORSET--01
T163,Buttons,Trim,Button/buttonholes,Button/buttonholes,Key hole buttons holes - horizontal on outside edge of panel only / Top buttonhole slanted to top corner,1,,,OHCJSMDORSET--01L
T164,Buttons,Trim,Button/holes,Button/holes,Straight buttonholes,4,,,OHCJSMOXFORD--01; OHCJSMOXFORD--01S; OHCJSMOXFORD--01LS; OHCJSMOXFORD--03
T165,Buttons,Trim,Button/holes,Button/holes,12 x button/buttonholes vertical and horizontal — sloping to the top corners,2,,,OHCJMOXFORD--01; OHCJMOXFORD--03
T166,Buttons,Trim,Button/holes,BUTTON/HOLES,Key hole button hole - horizontal on outside edge of panel only- / Top button slanted to top corner,2,,,OHCJMDORSET--01LS; OHCJMDORSET--01L
T167,Buttons,Trim,Button/holes,Button/holes,"Straight buttonholes, apart from the top two which are slanted into the corner",2,,,OHCJMOXFORD--01L; OHCJMOXFORD--03L
T168,Buttons,Trim,Button/holes,Button/holes,"Straight buttonholes, top buttonholes slanted into corners",2,,,OHCJSMOXFORD--01L; OHCJSMOXFORD--03L
