Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T429,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey care label - set underneath oliver harvey woven label. 65% polyester/35% cotton - 60 degree wash/ 2 dot iron/ tumble dry/do not bleach /p dry clean,2,,,OHLCTSHROPSHIRE--03; OHCTTLINCOLN--03
T430,Care / wash labels,Trim,Care label,CARE LABEL,Oliver Harvey wash instructions set under woven label. Set to right side seam as worn. Set 4cm down from finished top edge. / Wash - 100% organic cotton - 40 degree wash/ tumble dry low/ p dry clean/2 dot iron/ do not bleach,2,,,OHAPP053515; OHAPP053515S
T431,Care / wash labels,Trim,Care label,CARE LABEL,Care label - 65% recycled polyester 35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/ tumble dry low/ dry clean set label just below eyelet re-enforcement piece right side seam as worn,1,,,OHAPP065183
T432,Care / wash labels,Trim,Care label,Care label,OH care label / size — 50% polyester 50% cotton · 65° wash · tumble dry,1,,,OHBABYCHEFJKT
T433,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey 65% 35% poly cotton label inside right side seam / 60 degree wash / Set into right side seam as worn set 8cm up from finished hem.,1,,,OHCJSUFFOLK--01
T434,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey 65% recycled polyester 35% cotton organic label inside right side seam / 60 degree wash / Set into right side seam as worn set 8cm up from finished hem.,1,,,OHCJSSUFFOLK--03L
T435,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey 65% recycled polyester 35% organic cotton - label inside right side seam / 60 degree wash/2 dot iron/low tumble dry/p dry clean /do not bleach / Set into right side seam set 8cm up from finished hem.,1,,,OHCJNORFOLK--01
T436,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey 65% recycled polyester 35% organic cotton - label inside right side seam / 60 degree wash/2 dot iron/low tumble dry/p dry clean/do not bleach / Set into right side seam set 8cm up from finished hem.,1,,,OHCJSNORFOLK--01
T437,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey 65% recycled polyester 35% organic cotton label inside right side seam / 60 degree wash/ 2 dot iron/low tumble dry/p dry clean/do not bleach / Set into right side seam as worn set 8cm up from finished hem.,1,,,OHCJSSUFFOLK--01
T438,Care / wash labels,Trim,Care label,CARE LABEL,Oliver Harvey wash instructions set under woven label. Set to right side seam as worn. Set 4cm down from finished top edge. / Wash - 100% organic cotton - 40 degree wash/ low tumble dry/ p dry clean/2 dot iron/ do not bleach,1,,,OHAPP0535222
T439,Care / wash labels,Trim,Care label,CARE LABEL,Pre printed care instructions set 5cm down from cut edge of right side seam as worn.,1,,,OHAP352803RS
T440,Care / wash labels,Trim,Care label,CARE LABEL,Wash instruction - 60 degree wash - 65/35 recycled poly organic cotton / Set into right side seam as worn set 8cm up from finished hem.,1,,,OHCJSSUFFOLK--03
T441,Care / wash labels,Trim,Care label,CARE LABEL,Wash instruction - 65 recycled polyester/35% organic cotton 60 degree wash/ 2 dot iron/ low tumble dry/ p dry clean/ do not bleach / Set into right side seam as worn set 8cm up from finished hem.,1,,,OHCJSUFFOLK--03
T442,Care / wash labels,Trim,Care label printed at tibard (gails printer),Care label printed at tibard (gails printer),"Wash/care instructions 55% cotton/45% polyester - 70 degree wash/2 dot iron/p dry clean/ do not bleach/tumble dry plus additional label stating ""remove leather trim before wash"" / Label set 4cm down from top of finished RIGHT side seam as worn.",4,,,OHAPP0630242KP; OHAPP0630681KP; OHAPP0630682KP; OHAPP063068HP2
T443,Care / wash labels,Trim,Care label printed at tibard (gails printer),Care label printed at tibard (gails printer),"Wash/care instructions PLUS ADDITIONAL LABEL STATING ""REMOVE LEATHER TRIM BEFORE WASH"" / Label set 4cm down from top of finished RIGHT side seam as worn. / 67% polyester 33% cotton - 60 degree wash/do not bleach/2 dot iron/ p dry clean/ low tumble dry",2,,,OHAPP063015KPLN; OHAPP063082KPLN
T444,Care / wash labels,Trim,Care label printed at tibard (gails printer),Care label printed at tibard (gails printer),"Wash/care instructions - 60% cotton/40% polyester - 40 degree wash/do not bleach/ 2 dot iron/p dry clean/ tumble dry low plus additional label stating ""remove leather trim before wash"" / Label set 4cm down from top of finished RIGHT side seam as worn.",1,,,OHAPP063014HP2
T445,Care / wash labels,Trim,Care label- printed at tibard,Care label- printed at tibard,CARE LABEL - SET UNDERNEATH OLIVER HARVEY WOVEN LABEL. 35% cotton/35% polyester/30% T400 60 degree wash/do not bleach/2 dot iron/ P dry clean/low tumble dry,1,,,OHLCTSURREY--03
T446,Care / wash labels,Trim,Label,LABEL,Oliver harvey woven label back neck / Wash instruction - degree wash - 50% polyester 50% cotton 65 degree wash / Right hand side inside seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,5,,,OHCJMSTRATFORD--01; OHCJMSTRATFORD--01S; OHCJSMSTRATFORD--03; OHCJSMSTRATFORD--01; OHCJSMSTRATFORD--01S
T447,Care / wash labels,Trim,Label,Label,Oliver harvey woven label back neck / Wash instruction - / 75 degree wash - CL in triangle/bleach - low tumble dry - three dot iron - do not dry clean / Right hand side inside seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,2,,,OHCJSMDORSET--01; OHCJSMDORSET--01S
T448,Care / wash labels,Trim,Label,LABEL,Oliver harvey woven label back neck / Wash instruction - 75 degree wash - cl in triangle /bleach - low tumble dry - three dot iron - do not dry clean / Right hand side inside seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,2,,,OHCJMDORSET--01LS; OHCJMDORSET--01L
T449,Care / wash labels,Trim,Label,LABEL,Oliver harvey 65% recycled polyester 35% organic cotton - 60 degree wash/2 dot iron/low tumble dry/p dry clean / do not bleach - label inside left side seam / 60 degree wash / Label for garment name and manufacturing month and year only - behind wash label in side seam,1,,,OHCJCUMBRIA--01L
T450,Care / wash labels,Trim,Label,LABEL,Oliver harvey care label inside left side seam / 65% recycled polyester 35% organic cotton/60 degree wash /2 dot iron/tumble dry low/p dry clean/do not bleach / Label for garment name and manufacturing month and year only - behind wash label in side seam,1,,,OHCJCUMBRIA--01
T451,Care / wash labels,Trim,Label,LABEL,Oliver harvey woven label back neck / Oliver harvey 65% recycled polyester 35% organic cotton label inside left side seam / 60 degree wash /2 dot iron/tumble dry low/p dry clean/do not bleach / Label for garment name and manufacturing month and year only - behind wash label in side seam,1,,,OHCJSCUMBRIA--01L
T452,Care / wash labels,Trim,Label,LABEL,Oliver harvey woven label back neck / Wash instruction - 65% recycled polyester 35% organic cotton - 60 degree wash/2 dot iron/low tumble dry/p dry clean / do not bleach / Left hand side inside seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,1,,,OHCJCUMBRIA--03
T453,Care / wash labels,Trim,Label,LABEL,Oliver harvey woven label back neck / Wash instruction - 65% recycled polyester 35% organic cotton - 60 degree wash/2 dot iron/low tumble dry/p dry clean/do not bleach / Left hand side inde seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,1,,,OHCJSCUMBRIA--03
T454,Care / wash labels,Trim,Label for garment name and manufacturing month and year only - behind wash label in side seam,Label for garment name and manufacturing month and year only - behind wash label in side seam,,1,,,OHCJMDORSET--01
T455,Care / wash labels,Trim,Labels,Labels,Oliver harvey woven label back neck / Wash instruction / 75 Degree wash . CL in triangle/bleach -low tumble dry . three dot iron. Do not dry clean / Right hand side inside seam / Label for garment name and manufacturing month and year only - behind wash label in side seam,1,,,OHCJSMDORSET--01L
